ID;KSK;STM;STM.GEN;STM.PTV;STM.ESS;STM.ILL;STM.ILLseen;STM.PL.INE;STM.PL.GENiden;STM.PL.GENien;STM.PLGENten;STM.GENin;STM.PL.PTV;STM.PL.ILL;STM.PL.ILLseen
AIRUT;73;airut;airue.n;airut.ta;airue.na;airue.en;;airu.i.ssa (airuh.i.ssa);airu.i.den airu.i.tten (airuh.i.tten);(airuh.i.en);(airut.ten);;airu.i.ta (airuh.i.a);airu.i.hin;airu.i.siin (airuh.i.sin)
ÄIDYT;73;äidyt;äitye.n;äidyt.tä;äitye.nä;äitye.en;;äity.i.ssä (äityh.i.ssä);äity.i.den äity.i.tten (äityh.i.tten);(äityh.i.en);(äidyt.ten);;äity.i.tä (äityh.i.ä);äity.i.hin;äity.i.siin (äityh.i.sin)
KEVÄT;74;kevät;kevää.n (kevähä.n);kevät.tä;kevää.nä kevän.nä (kevähä.nä);;kevää.seen (kevähä.sen);kevä.i.ssä (keväh.i.ssä);kevä.i.den kevä.i.tten (keväh.i.tten);(keväh.i.en);(kevät.ten);;kevä.i.tä (keväh.i.ä);kevä.i.hin;kevä.i.siin (keväh.i.sin)
KAHDEKSAS;75;kahdeksas;kahdeksanne.n;kahdeksat.ta;kahdeksante.na (kahdeksan.na);kahdeksante.en;;kahdeksans.i.ssa;;kahdeksans.i.en;;;kahdeksans.i.a;kahdeksans.i.in;
TUHAT;76;tuhat *tuhannen;tuhanne.n;tuhat.ta;tuhante.na;tuhante.en;;tuhans.i.ssa;;tuhans.i.en;tuhan.ten;;tuhans.i.a;tuhans.i.in;
KUOLLUT;77;kuollut;kuollee.n (kuollehe.n);kuollut.ta;kuollee.na (kuollehe.na) (kuollun.na);;kuollee.seen (kuollehe.sen);kuolle.i.ssa (kuolleh.i.ssa);kuolle.i.den kuolle.i.tten (kuolleh.i.tten);(kuolleh.i.en);(kuollut.ten);;kuolle.i.ta (kuolleh.i.a);kuolle.i.hin;kuolle.i.siin (kuolleh.i.sin)
VAATE;78;vaate;vaatte.n (vaattehe.n);vaatet.ta;vaattee.na (vaattehe.na);;vaattee.seen (vaattehe.sen);vaatte.i.ssa vaatteh.i.ssa;vaatte.i.den vaatte.i.tten;(vaatteh.i.en);(vaatet.ten);;vaatte.i.ta (vaatteh.i.a);vaatte.i.hin;vaatte.i.siin (vaatteh.i.sin)
TERVE;79;terve;(tervehe.n) tervee.n;tervet.tä;tervee.nä (terven.nä) (tervehe.nä);;tervee.seen (tervehe.sen);terve.i.ssä (terveh.i.ssä);terve.i.den terve.i.tten (terveh.i.tten);(terveh.i.en);(tervet.ten);;terve.i.tä (terveh.i.ä);terve.i.hin;terve.i.siin (terveh.i.sin)
ORI;80;ori;ori.n (orihi.n);orit.ta;orii.na (orihi.na);;orii.seen (orihi.sen);ori.i.ssa (orih.i.ssa);ori.i.den ori.i.tten (orih.i.tten);(orih.i.en);(orit.ten);;ori.i.ta (orih.i.a);ori.i.hin;ori.i.siin (orih.i.sin)
KIIRU;81;kiiru;kiiruu.n (kiiruhu.n);kiirut.ta;kiiruu.na (kiiruhu.na);;kiiruu.seen (kiiruhu.sen);kiiru.i.ssa (kiiruh.i.ssa);kiiru.i.den kiiru.i.tten (kiiruh.i.tten);(kiiruh.i.en);(kiirut.ten);;kiiru.i.ta (kiiruh.i.a);kiiru.i.hin;kiiru.i.siin (kiiruh.i.sin)
ASKEL;82;askel;askele.n;askel.ta;askele.na;(askele.en);;askel.i.ssa;;askel.i.en;askel.ten;;askel.i.a;askel.i.in;
ASKELE;82;askele; [askelehe.n] askelee.n;askelet.ta;askelee.na;;askelee.seen;askele.i.ssa;askele.i.den askele.i.tten;;;;askele.i.ta;askele.i.hin;askele.i.siin
