ID,NEXT,MPHON,FEAT,BASEF,FLAG
N28rsi,"SgNom PlGenIen PlPtvIA PlIllIin PlCase",rs{eiØ},N,rs{eiØ},
,"! 29 lapsi",,,,
N29,"SgNom SgIllVn SgCase PlNom PlPtvIA PlGenIen PlIllIin PlCase",ps{eiØ},N,ps{eiØ},
N29,"SgPtvTA PlGenTen",s,N,ps{eiØ},
,"! 30 veitsi",,,,
N30,"SgNom SgIllVn SgCase PlNom PlPtvIA PlGenIen PlIllIin PlCase",ts{eiØ},N,ts{eiØ},
N30,"SgPtvTA PlGenTen",s,N,ts{eiØ},
,"! 31 kaksi yksi",,,,
,"! 32 nivel sävel ien siemen ahven sisar tytär",,,,
N32,32,,N,,
A32,32,,"A POS",,
A32,16,m{aäØ},"A CMP",n,
32,SgNom,,N,,
32,"SgPtvTA SgIllVn SgCase PlNom PlGenIen PlGenTen PlPtvIA PlIllIin PlCase",{eØ},N,,
,"! 33 kytkin puin kaavin eläin sydän hohtimet",,,,
N33,33,,N,,
A33,33,,"A POS",,
A33,16,m{eØ},"A CMP",n,
33,"SgNom SgPtvTA PlGenTen",n,,n,
33,"SgIllVn SgCase PlNom PlGenIen PlPtvIA PlIllIin PlCase",m{eØ},,n,
,"! onneton maaton",,,,
N34,34,,N,,
A34,34,,"A POS",,
A34,16,,"A CMP",,
34,"SgNom SgPtvTA PlGenTen",n,,n,
34,"SgIllVn SgCase PlNom PlGenIen PlPtvIA PlIllIin PlCase",m{aäØ},,n,
,"! 35 lämmin",,,,
A35,"SgNom SgPtvTA PlGenTen",n,"A POS",n,
A35,"SgIllVn SgCase PlNom PlGenIen PlGenIn PlPtvIA PlIllIin PlCase",m{aäØ},"A POS",n,
A35,16,m{aäØ},"A CMP",n,
,"! 36 sisin uloin",,,,
N36,36,,N,,
A36,36,,"A SUP",,
36,"SgNom SgPtvTA PlGenTen",n,,n,
36,"SgIllVn SgCase PlNom PlGenIen PlGenIn PlPtvIA PlIllIin PlCase",m{pm}{aäØ},,n,
,"! 37 vasen",,,,
A37,"SgNom SgPtvTA PlGenTen",n,"A POS",n,
A37,"SgPtvA SgIllVn SgCase PlNom PlGenIen PlGenIn PlPtvIA PlIllIin PlCase",m{pm}{aäØ},"A POS",n,
,"! 38 nainen",,,,
N38,38,,N,,
A38,38,,"A POS",,
A38,16,s{eØ},"A CMP",nen,
38,SgNom,nen,,nen,
38,"SgPtvTA SgIllVn SgCase PlNom PlGenTen PlGenIen PlPtvIA PlIllIin PlCase",s{eØ},,nen,
,"! 39 vastaus aidas turkis rikos ajatus pyydys kälykset",,,,
N39,39,,N,,
A39,39,,"A POS",,
39,"SgNom SgPtvTA PlGenTen",s,,s,
39,"SgIllVn SgCase PlNom PlGenIen PlPtvIA PlIllIin PlCase",ks{eØ},,s,
,"! 40 kalleus narrius ujous tarkkuus eheys äitiys kylmyys ylväys tyttöys",,,,
N40,40,,N,,
40,SgNom,s,,s,
40,"SgPtvTA SgIllVn SgCase PlNom",{td}{eØ},,s,
40,"PlGenIen PlPtvIA PlIllIin PlCase",ks{eØ},,s,
N40,"! Compd",s,,,
N40,"! Compd",den,,,
,"! vieras, portaat",,,,
N41,41,,N,,
A41,41,,"A POS",,
